UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007856,Aberystwyth University,Wales,Wales,Part-time,Academic atypical,Academic,Academic,2020/21,0
10067853,ACM Guildford Limited*,England,South East,Full-time,Non-atypical,Academic,Academic,2019/20,10
10067853,ACM Guildford Limited*,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10067853,ACM Guildford Limited*,England,South East,Full-time,Academic atypical,Academic,Academic,2019/20,0
10067853,ACM Guildford Limited*,England,South East,Part-time,Non-atypical,Academic,Academic,2019/20,20
10067853,ACM Guildford Limited*,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,
10067853,ACM Guildford Limited*,England,South East,Part-time,Academic atypical,Academic,Academic,2019/20,80
10067853,ACM Guildford Limited,England,South East,Full-time,Non-atypical,Academic,Academic,2020/21,10
10067853,ACM Guildford Limited,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10067853,ACM Guildford Limited,England,South East,Full-time,Academic atypical,Academic,Academic,2020/21,0
10067853,ACM Guildford Limited,England,South East,Part-time,Non-atypical,Academic,Academic,2020/21,95
10067853,ACM Guildford Limited,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,
10067853,ACM Guildford Limited,England,South East,Part-time,Academic atypical,Academic,Academic,2020/21,0
10000163,AECC University College,England,South West,Full-time,Non-atypical,Academic,Academic,2017/18,30
10000163,AECC University College,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,50
10000163,AECC University College,England,South West,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000163,AECC University College,England,South West,Part-time,Non-atypical,Academic,Academic,2017/18,20
10000163,AECC University College,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,50
10000163,AECC University College,England,South West,Part-time,Academic atypical,Academic,Academic,2017/18,20
10000163,AECC University College,England,South West,Full-time,Non-atypical,Academic,Academic,2018/19,30
10000163,AECC University College,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,55
10000163,AECC University College,England,South West,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000163,AECC University College,England,South West,Part-time,Non-atypical,Academic,Academic,2018/19,25
10000163,AECC University College,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,50
10000163,AECC University College,England,South West,Part-time,Academic atypical,Academic,Academic,2018/19,35
10000163,AECC University College*,England,South West,Full-time,Non-atypical,Academic,Academic,2019/20,30
10000163,AECC University College*,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10000163,AECC University College*,England,South West,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000163,AECC University College*,England,South West,Part-time,Non-atypical,Academic,Academic,2019/20,20
10000163,AECC University College*,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,
10000163,AECC University College*,England,South West,Part-time,Academic atypical,Academic,Academic,2019/20,30
10000163,AECC University College,England,South West,Full-time,Non-atypical,Academic,Academic,2020/21,30
10000163,AECC University College,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10000163,AECC University College,England,South West,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000163,AECC University College,England,South West,Part-time,Non-atypical,Academic,Academic,2020/21,25
10000163,AECC University College,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,
10000163,AECC University College,England,South West,Part-time,Academic atypical,Academic,Academic,2020/21,15
10032036,Amity Global Education*,England,London,Full-time,Non-atypical,Academic,Academic,2019/20,0
10032036,Amity Global Education*,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10032036,Amity Global Education*,England,London,Full-time,Academic atypical,Academic,Academic,2019/20,0
10032036,Amity Global Education,England,London,Full-time,Non-atypical,Academic,Academic,2020/21,0
10032036,Amity Global Education,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10032036,Amity Global Education,England,London,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2014/15,650
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,790
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2014/15,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2014/15,130
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,365
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2014/15,1435
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2015/16,655
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,755
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2015/16,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2015/16,150
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,325
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2015/16,1370
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2016/17,715
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,825
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2016/17,160
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,275
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2016/17,1695
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2017/18,715
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,790
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2017/18,170
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,275
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2017/18,1750
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2018/19,680
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,685
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2018/19,220
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,285
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2018/19,1795
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2019/20,635
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,715
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2019/20,5
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2019/20,200
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,240
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2019/20,2610
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Academic,Academic,2020/21,590
10000291,Anglia Ruskin University,England,East of England,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,705
10000291,Anglia Ruskin University,England,East of England,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Academic,Academic,2020/21,240
10000291,Anglia Ruskin University,England,East of England,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,270
10000291,Anglia Ruskin University,England,East of England,Part-time,Academic atypical,Academic,Academic,2020/21,1860
10005451,Arden University*,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2019/20,50
10005451,Arden University*,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10005451,Arden University*,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2019/20,0
10005451,Arden University*,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2019/20,5
10005451,Arden University*,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,
10005451,Arden University*,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2019/20,0
10005451,Arden University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2020/21,80
10005451,Arden University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10005451,Arden University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2020/21,0
10005451,Arden University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2020/21,5
10005451,Arden University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,
10005451,Arden University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2020/21,0
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2014/15,540
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,725
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2014/15,120
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,230
10007759,Aston University,England,West Midlands,Part-time,Academic atypical,Academic,Academic,2014/15,235
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Academic,Academic,2015/16,565
10007759,Aston University,England,West Midlands,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,645
10007759,Aston University,England,West Midlands,Full-time,Academic atypical,Academic,Academic,2015/16,0
10007759,Aston University,England,West Midlands,Part-time,Non-atypical,Academic,Academic,2015/16,110
